# Logfile created on 2026-09-17 08:44:12 +0200 by logger.rb/v1.4.3
2026-09-17 08:44:13 +0200: Memory Usage (440080K) : metal3_noqrc has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (440080K) : metal3_res has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (440080K) : metal3_iprobe has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (440080K) : metal3_diffprb has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (440344K) : nwell_drw has 469 polygons
2026-09-17 08:44:13 +0200: Memory Usage (440344K) : nwell_pin has 1 polygons
2026-09-17 08:44:13 +0200: Memory Usage (440344K) : nbulay_drw has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (440344K) : nbulay_pin has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (440344K) : nbulay_block has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (440608K) : emwind_drw has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (440608K) : emwind_opc has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (440608K) : deepco_drw has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (440608K) : deepco_drw has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (440872K) : mim_drw has 88 polygons
2026-09-17 08:44:13 +0200: Memory Usage (440872K) : edgeseal_drw has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (440872K) : edgeseal_bound has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (440872K) : substrate_drw has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (440872K) : substrate_text has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (441136K) : dfpad_drw has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (441136K) : dfpad_pillar has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (441136K) : dfpad_sbump has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (441136K) : thickgateox_drw has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (441136K) : pldb_drw has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (441400K) : pwell_drw has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (441400K) : pwell_pin has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (441400K) : pwell_block has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (441400K) : ic_drw has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (441400K) : via3_drw has 1045 polygons
2026-09-17 08:44:13 +0200: Memory Usage (441400K) : metal4_drw has 383 polygons
2026-09-17 08:44:13 +0200: Memory Usage (441664K) : metal4_pin has 14 polygons
2026-09-17 08:44:13 +0200: Memory Usage (441664K) : metal4_mask has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (441664K) : metal4_filler has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (441664K) : metal4_nofill has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (441928K) : metal4_slit has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (441928K) : metal4_text has 25 polygons
2026-09-17 08:44:13 +0200: Memory Usage (441928K) : metal4_opc has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (441928K) : metal4_noqrc has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (441928K) : metal4_res has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (442192K) : metal4_iprobe has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (442192K) : metal4_diffprb has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (442192K) : heattrans_drw has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (442192K) : heatres_drw has 48 polygons
2026-09-17 08:44:13 +0200: Memory Usage (442456K) : pempoly_drw has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (442456K) : fbe_drw has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (442456K) : empoly_drw has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (442456K) : ldmos_drw has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (442456K) : pbiwind_drw has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (442720K) : digisub_drw has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (442720K) : nodrc_drw has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (442720K) : text_drw has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (442720K) : via4_drw has 97 polygons
